Data;28763 - Estoque de empregos formais - Total - Unidades;28764 - Estoque de empregos formais - Agropecuária - Unidades;28765 - Estoque de empregos formais - Indústrias extrativas - Unidades;28766 - Estoque de empregos formais - Indústrias de transformação - Unidades;28767 - Estoque de empregos formais - SIUP - Unidades;28768 - Estoque de empregos formais - Eletricidade e gás - Unidades;28769 - Estoque de empregos formais - Água, esgoto, atividades de gestão de resíduos e descontaminação - Unidades;28770 - Estoque de empregos formais - Construção - Unidades;28771 - Estoque de empregos formais - Comércio - Unidades;28772 - Estoque de empregos formais - Serviços - Unidades;28773 - Estoque de empregos formais - Transporte, armazenamento e correio - Unidades;28774 - Estoque de empregos formais - Alojamento e alimentação - Unidades;28775 - Estoque de empregos formais - Informação e comunicação - Unidades;28776 - Estoque de empregos formais - Atividades financeiras e seguros - Unidades
02/2020;38423603;1518099;215383;6820533;462167;118062;344105;2027750;8947760;18431904;2393317;1914511;924968;831784
03/2020;38128578;1509525;215182;6777560;462542;118139;344403;2010072;8858500;18295190;2385550;1818312;923776;833623
04/2020;37146887;1502703;213773;6564468;459303;118191;341112;1934771;8592892;17878970;2328771;1668234;909294;827676
05/2020;36748439;1517491;213172;6459667;456881;118191;338690;1910802;8486487;17703933;2297975;1603806;903674;824154
06/2020;36694845;1555197;213774;6452377;455034;117858;337176;1926367;8458922;17633168;2286845;1560911;904593;822848
07/2020;36803228;1577658;214696;6501500;454418;117916;336502;1967091;8479695;17608164;2281060;1529982;908615;822877
08/2020;37017620;1585675;215593;6589030;456142;118004;338138;2017600;8523362;17630212;2278563;1510274;914217;824180
09/2020;37317080;1590992;216506;6697740;457802;118171;339631;2064954;8589773;17699307;2287436;1512648;923074;825413
10/2020;37682980;1586490;217734;6778016;460419;118624;341795;2099978;8700383;17839954;2303339;1537768;936953;822728
11/2020;38059146;1564678;218831;6822169;461378;118914;342464;2116024;8877277;17998783;2318582;1572755;937507;824091
12/2020;37901684;1534504;218179;6774070;459000;118561;340439;2063251;8924088;17928586;2312452;1592834;939536;824698
01/2021;38155930;1570992;219705;6861860;460685;119075;341610;2107531;8934177;18000974;2311860;1596501;945561;829292
02/2021;38553590;1595851;222085;6949844;463981;119458;344523;2152689;9001889;18167245;2322302;1611811;955194;832321
03/2021;38707062;1599218;223527;6984847;465031;119132;345899;2177066;9008552;18248815;2333412;1573200;966440;836337
04/2021;38796638;1609704;225861;6997373;465032;119569;345463;2199471;9010603;18288588;2336494;1543794;976103;842868
05/2021;39063002;1647830;228348;7034912;467544;119795;347749;2221447;9070091;18392825;2343273;1549118;986702;848312
06/2021;39380847;1687143;230644;7080666;470533;120555;349978;2245709;9146919;18519228;2356273;1568280;999085;854011
07/2021;39687274;1712827;233084;7134012;472821;120935;351886;2275976;9222502;18636048;2369541;1597089;1009909;859587
08/2021;40075472;1723406;234798;7204103;474760;121276;353484;2311492;9304379;18822531;2388688;1632158;1021184;865563
